ID_NOTICE_CAN,ISO_COUNTRY_CODE,WIN_COUNTRY_CODE,AWARD_VALUE_EURO
201947786,EE,,
201936284,PT,,
2019451702,DE,DE,1558840
2019356694,RO,RO---RO---RO,45914.91
2019265288,PL,PL,1012.19
201991476,FR,,
2019529696,RO,RO---RO---RO,290.31
2019338274,DE,DE,13022.34
2019440631,RO,,
2019287562,FR,FR,816170
2019504193,CZ,CZ,2334.59
2019620080,FR,FR,319816.01
2019176529,SI,,
2019549379,RO,RO,10115.27
2019172558,PL,PL,6846.36
2019173149,LT,,
2019329187,RO,,
2019589628,RO,RO,11801.15
2019546710,RO,RO,2549.89
2019524537,NO,NO,406046.03
201932647,DE,DE,
2019525213,PL,PL,1387.8
201924709,DE,DE,0.01
2019260463,SI,SI,6751675.34
20191297,PL,PL,17929345.05
2019502589,PL,PL,8096060
201967819,UK,UK,284812.65
201922166,FR,FR,934771
2019450874,UK,UK,4400.97
2019356789,CZ,CZ,732.49
201915625,DE,DE,966767.8
2019361788,RO,,
2019132198,DE,,
201939106,SK,SK,751562
2019463879,LT,,
2019119182,PL,PL,2896.27
2019601058,PL,PL,3752.56
2019452105,RO,,
2019471334,IT,,
2019126545,EE,,
2019498986,PL,PL---PL,616.86
2019559985,RO,RO,1911.47
2019159354,ES,ES,35450
2019262909,RO,,
2019582889,DE,DE,473318.26
2019268248,PT,,
2019501670,RO,RO,1010.89
2019234310,FR,FR,10515
201919497,IE,IE---IE---IE---IE---IE---IE---IE,8000000
2019524387,FR,,
2019301204,PL,,
201955231,SI,,
2019513118,ES,,
2019213620,ES,ES,1669155.84
201961957,RO,RO,4551.87
2019539684,PL,PL---PL,3410.78
2019283566,PL,PL,1024.15
2019559359,LT,,
2019487236,RO,RO---RO,83450.99
2019318672,RO,RO,5484.37
2019428174,RO,,
2019578598,RO,,
2019527392,BG,,
2019507199,RO,,
2019363441,PL,,
2019166639,SE,SE,4721836.61
201978562,RO,,
2019528147,SI,SI---SI,64000
201946464,PL,PL,148294.35
2019493194,FR,FR,18900000
2019450200,RO,RO,711.83
2019406301,RO,,
2019319041,RO,,
2019268310,RO,,
201943862,LV,LV,162407.4
2019329187,RO,RO,1852.36
2019496293,RO,RO,1185.58
2019169118,DE,DE,518487.39
2019254726,DE,DE,307911.39
2019523831,PL,PL,42325.95
2019114639,LT,,
2019541833,CZ,CZ,463839.74
2019440605,BG,,
2019175996,CZ,,
2019338054,FR,,
2019113165,RO,,
2019549382,PL,PL,53723.01
2019112258,BG,,
2019608938,DE,DE,1
2019180494,DE,DE,471645
2019327865,CZ,CZ,615.19
2019172626,SI,SI,2348.55
2019293097,FR,,
201928597,RO,RO,4920.66
2019311239,FR,FR,186864
2019473662,FR,FR,10930000
2019197475,NL,NL,57120
2019595811,IE,UK,
201955020,SI,SI,327.32
2019213712,GR,,
2019504546,PL,PL,703.02
2019606710,ES,ES,51914.35
2019452736,PT,,
2019608804,RO,RO,5.06
2019221379,DE,DE,16675.03
2019617970,PL,PL,6730.9
2019513977,RO,RO,1019.19
201923562,RO,RO,81080.23
2019571146,RO,RO,4651.13
2019213006,LT,,
2019613478,FR,FR,988
201953517,DE,DE,27619.66
2019485698,SK,SK,114425.73
2019210721,LT,,
2019546720,RO,,
2019385019,PL,PL,304589.01
2019244287,SI,,
201961024,HR,HR,1733300.75
2019284509,BE,BE,900000
201919343,ES,ES,234080
2019452105,RO,,
2019262093,PL,PL,42875.32
2019390326,RO,RO,46.36
2019582453,PL,PL,600.34
2019529720,PL,PL---PL,7504.19
2019199456,PL,PL,41589.1
2019533329,PL,,
2019333183,UK,UK,350.89
2019619075,IT,IT,99495.56
2019226933,PL,PL,8873.56
2019332096,LT,,
2019447838,RO,RO,4130.4
2019162018,HR,,
2019212599,ES,ES,3883125.02
2019461760,LV,LV,40898
2019621538,FR,FR,212383.39
2019588850,RO,RO,556.34
2019372202,IT,IT,179820
2019347967,ES,ES,111200
2019576558,FR,FR,21376
2019435692,FR,FR---FR,62683.62
2019619904,NO,NO,101511.51
2019361548,RO,,
201966260,FR,,
201926030,HU,HU,99979.1
2019290781,MK,,
2019552535,FR,FR,278058.04
2019602696,FR,FR,32000
2019508227,RO,RO,95294.29
2019528596,HU,HU,322162.51
2019310355,PL,PL,10826.46
201988585,PL,PL,204628.49
2019409150,RO,RO,2775.34
2019566347,PT,,
2019613395,DK,,
201913962,PL,PL---PL,10769.65
2019159289,HR,,
2019100153,IT,,
2019199802,SI,SI---SI,6990.92
2019400239,UK,UK,78010.18
2019561955,PL,PL,744.6
2019597046,DE,DE,1
201919541,PT,PT,25234
2019447775,RO,,
2019591685,LT,,
201987801,FR,UK,81574
2019292256,IT,IT,684930
2019619109,FR,,
2019408443,RO,,
2019263010,PL,,
2019166975,DE,DE,202992
2019204015,UK,,
201947797,PL,PL,3769.55
2019383090,PL,PL,830116.81
2019337126,UK,,
2019537183,PL,PL---PL,5057.98
2019140098,ES,ES,1
2019485850,RO,RO---RO---RO,18055.76
2019515692,FI,FI,179364
2019326047,FR,FR,367349.34
2019408492,RO,RO,6467.72
2019563120,PL,PL,6843819.81
2019306465,LT,,
2019213740,HU,HU---HU,28843.07
2019347263,BG,BG,3469.68
201955345,RO,,
201990122,SI,SI,246.4
2019155316,LT,LT,8136.36
2019125132,FR,FR,136123.2
2019108162,DK,DK---DK,4018162.09
